Key,File,Type,UsedInMainMenu,NoTranslate,russian
ulmResourceHingeIron,,,,,"Железная шарнирная петля"
ulmResourceHingeIronDesc,,,,,"Прочный железный шарнир для соединения двух твёрдых предметов с возможностью вращения между ними."
ulmResourceHingeSteel,,,,,"Стальная шарнирная петля"
ulmResourceHingeSteelDesc,,,,,"Очень прочный шарнир для соединения двух твёрдых предметов с возможностью вращения между ними."
ulmResourceHoney,,,,,"Соты"
ulmResourceHoneyDesc,,,,,"Чтобы получить пригодный к употреблению мёд, его нужно обработать на [decea3]костре[-]."
ulmResourceHose,,,,,"Резиновый шланг"
ulmResourceHoseDesc,,,,,"Толстый резиновый шланг, который может перекачивать воду или другие жидкости, например бензин. На газовых насосах есть что-то вроде этого."
ulmResourceIngotBrass,,,,,"Латунный слиток"
ulmResourceIngotBrassDesc,,,,,"Плотный латунный слиток. Интересно, сколько пуль из этого получится ?."
ulmResourceIngotCopper,,,,,"Медный слиток"
ulmResourceIngotCopperDesc,,,,,"Плотный медный слиток. Обычный металл, используемый в электрических компонентах для проведения электричества."
ulmResourceIngotCrudeIron,,,,,"Слиток сырого железа"
ulmResourceIngotCrudeIronDesc,,,,,"Плотный железный слиток сырого качества. Обычный металл, используемый в основной грубой металлической ковке."
ulmResourceIngotGold,,,,,"Золотой слиток"
ulmResourceIngotGoldDesc,,,,,"Плотный золотой слиток."
ulmResourceIngotIron,,,,,"Железный слиток"
ulmResourceIngotIronDesc,,,,,"Плотный слиток, который можно обрабатывать и формовать в различные изделия."
ulmResourceIngotLead,,,,,"Свинцовый слиток"
ulmResourceIngotLeadDesc,,,,,"Плотный свинцовый слиток. Лучший способ хранить металлы - это плавить отходы, а затем переводить их из жидкого состояния в слиток для длительного хранения."
ulmResourceIngotSilver,,,,,"Серебряный слиток"
ulmResourceIngotSilverDesc,,,,,"Плотный серебряный слиток."
ulmResourceIngotSteel,,,,,"Стальной слиток"
ulmResourceIngotSteelDesc,,,,,"Плотный слиток, который можно обрабатывать и формовать в различные изделия."
ulmResourceIngotTitanium,,,,,"Титановый слиток"
ulmResourceIngotTitaniumDesc,,,,,"Используется в строительстве сплавов на основе титана."
ulmResourceIngotZinc,,,,,"Цинковый слиток"
ulmResourceIngotZincDesc,,,,,"Редко используется в чистом виде, чаще всего встречается в виде сплава с другими металлами, может использоваться в сочетании с медью для производства латуни."
ulmResourceJackPlane,,,,,"Рубанок"
ulmResourceJackPlaneDesc,,,,,"Используется для снятия древесных кусков с целью придания им желаемой формы."
ulmResourceKeyboardCashRegister,,,,,"Клавиатура кассового аппарата"
ulmResourceKeyboardCashRegisterDesc,,,,,"Обычная клавиатура кассового аппарата. Он вам понадобится, если вы планируете изготовить кассовый аппарат."
ulmResourceKeyboardPC,,,,,"Компьютерная клавиатура"
ulmResourceKeyboardPCDesc,,,,,"Старая механическая компьютерная клавиатура."
ulmResourceLCDMonitor,,,,,"ЖК монитор"
ulmResourceLCDMonitorDesc,,,,,"Устаревший, но функциональный ЖК-монитор. Вы можете найти их в кассовых аппаратах. Требуется для изготовления одной из собственных кассовых аппаратов."
ulmResourceLeather,,,,,"Кожа"
ulmResourceLeatherDesc,,,,,"Используется в крафте."
ulmResourceLeatherStrip,,,,,"Кожаная полоса"
ulmResourceLeatherStripDesc,,,,,"Используется при изготовлении доспехов, соединяя вместе различные части доспехов."
ulmResourceLeatherThick,,,,,"Толстая кожа"
ulmResourceLeatherThickDesc,,,,,"Используется в крафте."
ulmResourceLens,,,,,"Линза"
ulmResourceLensDesc,,,,,"Очень простые линзы для очков, которые можно сделать из старых очков, клейкой ленты и базовой оправы."
ulmResourceLightBulb,,,,,"Лампочка"
ulmResourceLightBulbDesc,,,,,"Пыльная, но хорошо сохранившаяся лампочка."
ulmResourceLithiumBattery,,,,,"Литиевая батарейка"
ulmResourceLithiumBatteryDesc,,,,,"Батарейный блок, состоящий из нескольких литиевых элементов меньшего размера. Работает лучше, чем обычные свинцово-кислотные батареи. Можно использовать как аккумулятор для минибайка."
ulmResourceLithiumBatteryCells,,,,,"Литиевые батареи"
ulmResourceLithiumBatteryCellsDesc,,,,,"Маленькие и компактные литиевые аккумуляторные батареи. Каждый из них обеспечивает очень небольшую мощность, но в большом количестве они могут превзойти свинцово-кислотные батареи. Используется как альтернативный аккумулятор для минибайка."
ulmResourceMatches,,,,,"Спички"
ulmResourceMatchesDesc,,,,,"Куча спичек. Зажечь нечем, но огонь можно разжечь намного быстрее."
ulmResourceMetalCable,,,,,"Металлический кабель"
ulmResourceMetalCableDesc,,,,,"Простой трос из металлолома."
ulmResourceMetalMesh,,,,,"Металлическая сетка"
ulmResourceMetalMeshDesc,,,,,"Прочная металлическая сетка. Используется как усиление при производстве пуленепробиваемого стекла."
ulmResourceMetalStrips,,,,,"Металлические полосы"
ulmResourceMetalStripsDesc,,,,,"Связка небольших металлических полосок, которые можно использовать в некоторых рецептах крафта."
ulmResourceMinibikeRepairKit,,,,,"Ремнабор для минибайка"
ulmResourceMinibikeRepairKitDesc,,,,,"Содержит все необходимые детали для починки минибайка."
ulmResourceMinibikeRepairKitBlueprint,,,,,"Ремнабор для минибайка"
ulmResourceMinibikeRepairKitBlueprintDesc,,,,,"Инструкции по изготовлению [decea3]ремнабора для минибайка[-]."
ulmResourceMinibikeWheel,,,,,"Колесо минибайка"
ulmResourceMinibikeWheelDesc,,,,,"Стандартное колесо минибайка"
ulmResourceMinibikeWheelBlueprint,,,,,"Колесо минибайка"
ulmResourceMinibikeWheelBlueprintDesc,,,,,"Инструкции по изготовлению [decea3]колеса минибайка[-]."
ulmResourceMotorcycleRepairKit,,,,,"Ремнабор для мотоцикла"
ulmResourceMotorcycleRepairKitDesc,,,,,"Содержит все необходимые детали для починки мотоцикла."
ulmResourceMotorcycleRepairKitBlueprint,,,,,"Ремнабор для мотоцикла"
ulmResourceMotorcycleRepairKitBlueprintDesc,,,,,"Инструкции по изготовлению [decea3]ремнабора для мотоцикла[-]."
ulmResourceMotorcycleWheel,,,,,"Колесо мотоцикла"
ulmResourceMotorcycleWheelDesc,,,,,"Колесо мотоцикла мародёра"
ulmResourceMotorcycleWheelBlueprint,,,,,"Колесо мотоцикла"
ulmResourceMotorcycleWheelBlueprintDesc,,,,,"Инструкции по изготовлению [decea3]колеса мотоцикла[-]."
ulmResourceMotorLarge,,,,,"Большой электродвигатель"
ulmResourceMotorLargeDesc,,,,,"Большой электродвигатель, который может пригодиться при изготовлении предметов."
ulmResourceMotorSmall,,,,,"Маленький электродвигатель"
ulmResourceMotorSmallDesc,,,,,"Небольшой электродвигатель, который может пригодиться при изготовлении предметов."
ulmResourceNutsAndBolts,,,,,"Гайки и болты"
ulmResourceNutsAndBoltsDesc,,,,,"Гайки, болты и шайбы разных размеров."
ulmResourceOreCopper,,,,,"Медная руда"
ulmResourceOreCopperDesc,,,,,"Кусок [decea3]медной руды[-]. Не очень полезен в сыром виде, вам сначала нужно очистить его в печи, расплавив и выплавив в [decea3]медный слиток[-]."
ulmResourceOreIron,,,,,"Железная руда"
ulmResourceOreIronDesc,,,,,"Кусок [decea3]железной руды[-]. Не очень полезен в сыром виде, вам сначала нужно очистить его в печи, расплавив и выплавив в [decea3]железный слиток[-]."
ulmResourceOreLead,,,,,"Свинцовая руда"
ulmResourceOreLeadDesc,,,,,"Кусок [decea3]свинцовой руды[-]. Не очень полезен в сыром виде, вам сначала нужно очистить его в печи, расплавив и выплавив в [decea3]свинцовый слиток[-]."
ulmResourceOrePotassiumNitrate,,,,,"Селитровая руда"
ulmResourceOrePotassiumNitrateDesc,,,,,"Кусок руды, богатой [decea3]селитрой[-]. Не очень полезна в сыром виде, используйте [decea3]ступку и пестик[-] чтобы измельчить в [decea3]порошок селитры[-]."
ulmResourceOreStone,,,,,"Большой камень"
ulmResourceOreStoneDesc,,,,,"Большой камень, из которого можно сделать плитняк или булыжник."
ulmResourceOreSulfur,,,,,"Серная руда"
ulmResourceOreSulfurDesc,,,,,"Её можно найти в небольших количествах в жилах [decea3]селитровой руды[-] и необходимо дополнительно обработать в [decea3]ступке и пестике[-], чтобы получить [decea3]серный порошок[-], один из ингредиентов пороха."
ulmResourceOreTitanium,,,,,"Титановая руда"
ulmResourceOreTitaniumDesc,,,,,"Кусок [decea3]титановой руды[-]. Не очень полезен в сыром виде, вам сначала нужно очистить его в печи, расплавив и выплавив в [decea3]титановый слиток[-]."
ulmResourceOreZinc,,,,,"Цинковая руда"
ulmResourceOreZincDesc,,,,,"Кусок [decea3]цинковой руды[-]. Не очень полезен в сыром виде, вам сначала нужно очистить его в печи, расплавив и выплавив в [decea3]цинковый слиток[-]."
ulmResourcePadlock,,,,,"Латунный замок"
ulmResourcePadlockDesc,,,,,"Замок можно использовать для изготовления безопасных контейнеров для хранения."
ulmResourcePaintBeige,,,,,"Краска, Бежевый"
ulmResourcePaintBeigeDesc,,,,,"Бежевую краску можно использовать в крафте."
ulmResourcePaintBlack,,,,,"Краска, Черный"
ulmResourcePaintBlackDesc,,,,,"Черную краску можно использовать в крафте."
ulmResourcePaintBlue1,,,,,"Краска, Голубой"
ulmResourcePaintBlue1Desc,,,,,"Синюю краску можно использовать в крафте."
ulmResourcePaintBlue2,,,,,"Краска, Темно-сланцево-синий"
ulmResourcePaintBlue2Desc,,,,,"Темно-сланцевую синюю краску можно использовать в крафте."
ulmResourcePaintBlue3,,,,,"Краска, темно-синий"
ulmResourcePaintBlue3Desc,,,,,"Темно-синюю краску можно использовать в крафте."
ulmResourcePaintBrown,,,,,"Краска, Коричневый"
ulmResourcePaintBrownDesc,,,,,"Коричневая краска, можно использовать в крафте."
ulmResourcePaintGreen1,,,,,"Краска, Кораллово-зеленый"
ulmResourcePaintGreen1Desc,,,,,"Светло-зеленую краску можно использовать в крафте."
ulmResourcePaintGreen2,,,,,"Краска, Лесной Зеленый"
ulmResourcePaintGreen2Desc,,,,,"Лесную зеленую краску можно использовать в крафте."
ulmResourcePaintYellow,,,,,"Краска, желтый"
ulmResourcePaintYellowDesc,,,,,"Желтую краску можно использовать в крафте."
ulmResourcePaintOrange,,,,,"Краска, Оранжевый"
ulmResourcePaintOrangeDesc,,,,,"Оранжевую краску можно использовать в крафте."
ulmResourcePaintRed,,,,,"Краска, Красный"
ulmResourcePaintRedDesc,,,,,"Красную краску можно использовать в крафте."
ulmResourcePaintWhite,,,,,"Краска, Белый"
ulmResourcePaintWhiteDesc,,,,,"Белую краску можно использовать в крафте."
ulmResourcePartsSMG,,,,,"Части ПП"
ulmResourcePartsSMGDesc,,,,,"Некоторые детали того, что когда-то было ПП."
ulmResourcePipeSteel,,,,,"Стальная труба"
ulmResourcePipeSteelDesc,,,,,"Довольно обычная короткая стальная труба. Может использоваться в различных рецептах."
ulmResourcePipeTitanium,,,,,"Титановая труба"
ulmResourcePipeTitaniumDesc,,,,,"Довольно обычная короткая трубка из титана. Используется при строительстве сложных предметов и блоков."
ulmResourcePlank,,,,,"Доска"
ulmResourcePlankDesc,,,,,"Используется в большинстве рецептов, связанных с деревообработкой. Можно более эффективно изготовить на верстаке с циркулярной пилой."
ulmResourcePlate,,,,,"Тарелка"
ulmResourcePlateDesc,,,,,"Тарелка, которую можно использовать для сервировки еды."
ulmResourcePoliceLights,,,,,"Полицейские огни"
ulmResourcePoliceLightsDesc,,,,,"Вы можете улучшать полицейские машины с помощью этих"
ulmResourcePrimer,,,,,"Запал"
ulmResourcePrimerDesc,,,,,"Взрывоопасное химическое соединение для воспламенения пороха. Требуется при производстве боеприпасов для огнестрельного оружия."
ulmResourcePrimitiveRepairKit,,,,,"Примитивный ремонтный набор"
ulmResourcePrimitiveRepairKitDesc,,,,,"Все необходимые детали для ремонта самых простых и примитивных инструментов из камня или дерева."
ulmResourcePvbFilm,,,,,"ПВБ-плёнка"
ulmResourcePvbFilmDesc,,,,,"В основном используется в качестве промежуточного слоя для производства многослойного стекла и пуленепробиваемого стекла."
ulmResourceRebarIron,,,,,"Железная арматура"
ulmResourceRebarIronDesc,,,,,"Используется при строительстве арматурных каркасов и металлических стержней. Есть и другие применения."
ulmResourceRebarSteel,,,,,"Стальная арматура"
ulmResourceRebarSteelDesc,,,,,"Используется при строительстве стальных стержней."
ulmResourceRebarTitanium,,,,,"Титановая арматура"
ulmResourceRebarTitaniumDesc,,,,,"Используется при строительстве сложных предметов и блоков."
ulmResourceResearch,,,,,"Данные исследования"
ulmResourceResearchDesc,,,,,"Сборник ценных исследовательских данных. Когда будет собрано достаточно данных, можно исследовать новые схемы за исследовательским столом."
ulmResourceResin,,,,,"Смола"
ulmResourceResinDesc,,,,,"Высоковязкое вещество, которое можно собирать с деревьев. Часто смеси органических соединений. Многие растения, особенно древесные, выделяют смолу в ответ на травмы."
ulmResourceRope,,,,,"Верёвка"
ulmResourceRopeDesc,,,,,"Скрученные или сплетенные вместе кусочки волокна образуют верёвку, намного более прочную, чем само волокно."
ulmResourceScrapCopper,,,,,"Медный лом"
ulmResourceScrapCopperDesc,,,,,"Чаще всего используется при производстве медных труб и проводов."
ulmResourceScrapLeather,,,,,"Лоскуты кожи"
ulmResourceScrapLeatherDesc,,,,,"Используется для ремонта кожаной брони. Ремонтирует [decea3]50[-] прочности."
ulmResourceScrapOrganic,,,,,"Органические отходы"
ulmResourceScrapOrganicDesc,,,,,"Смешанная субстанция из органических веществ, используемая при изготовлении удобрений для обработки почвы."
ulmResourceScrapPlank,,,,,"Сломанная доска"
ulmResourceScrapPlankDesc,,,,,"Обломок доски. Если вы найдете похожие части, возможно, удастся восстановить их с помощью клейкого вещества."
ulmResourceScrapRubber,,,,,"Куски резины"
ulmResourceScrapRubberDesc,,,,,"Резиновый лом можно использовать для изготовления резиновых колес и других компонентов."
ulmResourceScrapSteel,,,,,"Стальной лом"
ulmResourceScrapSteelDesc,,,,,"Коллекция различных утилизированных стальных пластин, профилей и панелей. Добывается путем утилизации предметов, которые в основном состоят из стали в качестве основного материала."
ulmResourceScrapTitanium,,,,,"Лом титана"
ulmResourceScrapTitaniumDesc,,,,,"Используется в изготовлении сплавов на основе титана."
ulmResourceScrapWires,,,,,"Моток кабеля"
ulmResourceScrapWiresDesc,,,,,"Большая часть электроники полагается на какую-либо электрическую проводку для передачи электричества от одного компонента к другому."
ulmResourceScrapWood,,,,,"Измельчённая древесина"
ulmResourceScrapWoodDesc,,,,,"Древесные частицы различной формы и величины, получаемые в результате механической обработки более крупных кусков древесины, таких как деревья, ветки, пни и т.п."
ulmResourceScrews,,,,,"Винты"
ulmResourceScrewsDesc,,,,,"Используется в некоторых рецептах крафта."
ulmResourceSewingKit,,,,,"Набор для шитья"
ulmResourceSewingKitDesc,,,,,"Используется для изготовления одежды, брони, а также модификация для них. Может также использоваться для остановки кровотечения и перевязки рваных ран.\nДля лечения других игроков используйте клавишу вторичного действия."
ulmResourceShotgunCasing,,,,,"Гильза для патрона дробовика"
ulmResourceShotgunCasingDesc,,,,,"Гильза из латуни и пластика 11x50-мм для ружей. Удерживает все части боеприпаса вместе."
ulmResourceShotgunSlug,,,,,"Пулевой патрон для дробовика"
ulmResourceShotgunSlugDesc,,,,,"Пули 11х50мм для ружей. Также известен как снаряд круглого сечения, отлитый из расплавленного свинца."
ulmResourceSyringe,,,,,"Пустой шприц"
ulmResourceSyringeDesc,,,,,"Снаружи он может выглядеть не совсем чистым, но все же довольно безопасно использовать в сочетании с некоторыми лекарствами."
ulmResourceSoil,,,,,"Почва"
ulmResourceSoilDesc,,,,,"Звучит не очень интересно, но это может иметь какое-то отношение к сельскому хозяйству."
ulmResourceSpeaker,,,,,"Оратор"
ulmResourceSpeakerDesc,,,,,"Старый динамик."
ulmResourceSpice,,,,,"Специи"
ulmResourceSpiceDesc,,,,,"Знаменитая специя Герцога - секретный ингредиент большинства блюд. Никто не знает, из чего он сделан, кроме самого главного повара герцога."
ulmResourceSprockets,,,,,"Звёздочки"
ulmResourceSprocketsDesc,,,,,"Обычно они сцепляются с цепью, гусеницей или другим перфорированным или зазубренным материалом."
ulmResourceStonePowder,,,,,"Каменный порошок"
ulmResourceStonePowderDesc,,,,,"Мелко измельченный камень"
ulmResourceSulfuricAcid,,,,,"Серная кислота"
ulmResourceSulfuricAcidDesc,,,,,"Используется в различных чистящих средствах и в качестве электролита в свинцово-кислотных аккумуляторах. Также используется в переработке полезных ископаемых, производстве удобрений и нефтепереработке."
ulmResourceSulfurPowder,,,,,"Серный порошок"
ulmResourceSulfurPowderDesc,,,,,"В основном производится из серной руды и используется для производства пороха. Также можно извлечь из яиц или гниющей плоти."
ulmResourceThread,,,,,"Катушка с резьбой"
ulmResourceThreadDesc,,,,,"Используется для изготовления ткани на ткацком станке."
ulmResourceTimer,,,,,"Таймер"
ulmResourceTimerDesc,,,,,"Простой таймер, для работы которого не нужны батарейки."
ulmResourceTransistor,,,,,"Транзистор"
ulmResourceTransistorDesc,,,,,"Можно использовать в крафте."
ulmResourceTreeRepairKit,,,,,"Деревянный ремонтный набор"
ulmResourceTreeRepairKitDesc,,,,,"Все необходимые части для восстановления большинства деревьев."
ulmResourceTruckRepairKit,,,,,"Ремнабор для грузовика"
ulmResourceTruckRepairKitDesc,,,,,"Содержит все необходимые детали для приведения грузовика в рабочее состояние."
ulmResourceTruckRepairKitBlueprint,,,,,"Ремнабор для грузовика"
ulmResourceTruckRepairKitBlueprintDesc,,,,,"Инструкции по изготовлению [decea3]ремнабора для грузовика[-]."
ulmResourceTruckWheel,,,,,"Колесо грузовика"
ulmResourceTruckWheelDesc,,,,,"Стандартное колесо грузовика"
ulmResourceTruckWheelBlueprint,,,,,"Колесо грузовика"
ulmResourceTruckWheelBlueprintDesc,,,,,"Инструкции по изготовлению [decea3]колеса грузовика[-]."
ulmResourceTurretBase,,,,,"Турель Платформа"
ulmResourceTurretBaseDesc,,,,,"Регулируемая платформа для штатива с приводами наклона и рыскания."
ulmResourceTwigs,,,,,"Веточки"
ulmResourceTwigsDesc,,,,,"Используется в некоторых рецептах крафта. Быстро выгорает, чего и ожидать."
ulmResourceVarnish,,,,,"Лак"
ulmResourceVarnishDesc,,,,,"Прозрачное твёрдое защитное покрытие, которое в основном используется при отделке древесины. Изготовлен из масел, смолы и спирта."
ulmResourceWheelRim,,,,,"Обод колеса"
ulmResourceWheelRimDesc,,,,,"Если вы хотите создать необычные колеса, вам следует начать с этого. Скрепляет все части колеса."
ulmResourceLog,,,,,"Дерево"
ulmResourceLogDesc,,,,,"Может использоваться как строительный блок или дополнительно обрабатываться в других ресурсах, таких как доски, дрова и т. Д."
ulmResourceLumber,,,,,"Дерево"
ulmResourceLumberDesc,,,,,"Можно переработать в другие ресурсы, например, доски, дрова и т. Д."
ulmSkillBookBook,,,,,"Книга навыков"
ulmSkillBookBookDesc,,,,,"Прочитав эту [decea3]Книгу навыков[-], вы будете вознаграждены [decea3]1[-] очком навыков."
ulmSkillBookFragment,,,,,"Примечания к навыкам"
ulmSkillBookFragmentDesc,,,,,"Свернутая в виде свитка страница содержит ценные знания о навыках. Когда их будет собрано достаточно, можно создать [decea3]Книгу навыков[-], дающую [decea3]1[-] очко навыков."
ulmBookSniperRifles,,,,,"Снайперские винтовки"
ulmBookSniperRiflesDesc,,,,,"Прочтение этой книги навыков повысит уровень навыка действия [decea3]Снайперские винтовки[-] на [decea3]1[-]."
ulmBookArchery,,,,,"Луки и арбалеты"
ulmBookArcheryDesc,,,,,"Прочтение этой книги навыков повысит уровень навыка действия [decea3]Луки и арбалеты[-] на [decea3]1[-]."
ulmBookSpears,,,,,"Копья"
ulmBookSpearsDesc,,,,,"Прочтение этой книги навыков повысит уровень навыка действия [decea3]Копья[-] на [decea3]1[-]."
ulmBookLockPicking,,,,,"Взлом"
ulmBookLockPickingDesc,,,,,"Прочтение этой книги навыков повысит уровень навыка действия [decea3]Взлом[-] на [decea3]1[-]."
ulmBookLooting,,,,,"Мародёрство"
ulmBookLootingDesc,,,,,"Прочтение этой книги навыков повысит уровень навыка действия [decea3]Мародёрство[-] на [decea3]1[-]."
ulmBookButcher,,,,,"Разделка животных"
ulmBookButcherDesc,,,,,"Прочтение этой книги навыков повысит уровень навыка действия [decea3]Разделка животных[-] на [decea3]1[-]."
ulmBookAssaultRifles,,,,,"Автоматы и пулемёты"
ulmBookAssaultRiflesDesc,,,,,"Прочтение этой книги навыков повысит уровень навыка действия [decea3]Автоматы и пулемёты[-] на [decea3]1[-]."
ulmBookClubs,,,,,"Дубинки"
ulmBookClubsDesc,,,,,"Прочтение этой книги навыков повысит уровень навыка действия [decea3]Дубинки[-] на [decea3]1[-]."
ulmBookSledgehammers,,,,,"Кувалды"
ulmBookSledgehammersDesc,,,,,"Прочтение этой книги навыков повысит уровень навыка действия [decea3]Кувалды[-] на [decea3]1[-]."
ulmBookAxes,,,,,"Инструменты для рубки дерева"
ulmBookAxesDesc,,,,,"Прочтение этой книги навыков повысит уровень навыка действия [decea3]Инструменты для рубки дерева[-] на [decea3]1[-]."
ulmBookShovels,,,,,"Инструменты для копания"
ulmBookShovelsDesc,,,,,"Прочтение этой книги навыков повысит уровень навыка действия [decea3]Инструменты для копания[-] на [decea3]1[-]."
ulmBookMining,,,,,"Шахтёрские инструменты"
ulmBookMiningDesc,,,,,"Прочтение этой книги навыков повысит уровень навыка действия [decea3]Шахтёрские инструменты[-] на [decea3]1[-]."
ulmBookShotguns,,,,,"Дробовики"
ulmBookShotgunsDesc,,,,,"Прочтение этой книги навыков повысит уровень навыка действия [decea3]Дробовики[-] на [decea3]1[-]."
ulmBookBrawler,,,,,"Дебошир"
ulmBookBrawlerDesc,,,,,"Прочтение этой книги навыков повысит уровень навыка действия [decea3]Дебошир[-] на [decea3]1[-]."
ulmBookResistHeat,,,,,"Теплоустойчивость"
ulmBookResistHeatDesc,,,,,"Прочтение этой книги навыков повысит уровень навыка действия [decea3]Теплоустойчивость[-] на [decea3]1[-]."
ulmBookResistCold,,,,,"Холодоустойчивость"
ulmBookResistColdDesc,,,,,"Прочтение этой книги навыков повысит уровень навыка действия [decea3]Холодоустойчивость[-] на [decea3]1[-]."
ulmBookResistPain,,,,,"Болевая выносливость"
ulmBookResistPainDesc,,,,,"Прочтение этой книги навыков повысит уровень навыка действия [decea3]Болевая выносливость[-] на [decea3]1[-]."
ulmBookHealing,,,,,"Лечение"
ulmBookHealingDesc,,,,,"Прочтение этой книги навыков повысит уровень навыка действия [decea3]Лечение[-] на [decea3]1[-]."
ulmBookHandguns,,,,,"Пистолеты"
ulmBookHandgunsDesc,,,,,"Прочтение этой книги навыков повысит уровень навыка действия [decea3]Пистолеты[-] на [decea3]1[-]."
ulmBookBlades,,,,,"Холодное оружие"
ulmBookBladesDesc,,,,,"Прочтение этой книги навыков повысит уровень навыка действия [decea3]Холодное оружие[-] на [decea3]1[-]."
ulmBookAthletics,,,,,"Лёгкая атлетика"
ulmBookAthleticsDesc,,,,,"Прочтение этой книги навыков повысит уровень навыка действия [decea3]Лёгкая атлетика[-] на [decea3]1[-]."
ulmBookSneaking,,,,,"Скрытность"
ulmBookSneakingDesc,,,,,"Прочтение этой книги навыков повысит уровень навыка действия [decea3]Скрытность[-] на [decea3]1[-]."
ulmBookAssasin,,,,,"Убийца"
ulmBookAssasinDesc,,,,,"Прочтение этой книги навыков повысит уровень навыка действия [decea3]Убийца[-] на [decea3]1[-]."
ulmBookSubmachineGuns,,,,,"Пистолеты-пулемёты"
ulmBookSubmachineGunsDesc,,,,,"Прочтение этой книги навыков повысит уровень навыка действия [decea3]Пистолеты-пулемёты[-] на [decea3]1[-]."
ulmBookShockers,,,,,"Трубное оружие ближнего боя"
ulmBookShockersDesc,,,,,"Прочтение этой книги навыков повысит уровень навыка действия [decea3]Трубное оружие ближнего боя[-] на [decea3]1[-]."
ulmBookTrading,,,,,"Торговля"
ulmBookTradingDesc,,,,,"Прочтение этой книги навыков повысит уровень навыка действия [decea3]Торговля[-] на [decea3]1[-]."
ulmBookQuesting,,,,,"Задания"
ulmBookQuestingDesc,,,,,"Прочтение этой книги навыков повысит уровень навыка действия [decea3]Задания[-] на [decea3]1[-]."
ulmBookSalvaging,,,,,"Инструменты для разбора"
ulmBookSalvagingDesc,,,,,"Прочтение этой книги навыков повысит уровень навыка действия [decea3]Инструменты для разбора[-] на [decea3]1[-]."
ulmBookStrength,,,,,"Поднятие тяжестей"
ulmBookStrengthDesc,,,,,"Прочтение этой книги навыков повысит уровень навыка действия [decea3]Поднятие тяжестей[-] на [decea3]1[-]."
ulmToolAdvancedWelder,,,,,"Дуговой сварщик"
ulmToolAdvancedWelderDesc,,,,,"Очень мощный, но компактный сварочный аппарат, предназначенный для работы с титаном и другими современными сплавами."
ulmToolAxeCrude,,,,,"Топор из грубого железа"
ulmToolAxeCrudeDesc,,,,,"Очень простой инструмент. Полезно для резки дерева, добычи камня, ремонта и модернизации стен, дверей и окон. Не лучшее оружие."
ulmToolBerserkerDrill,,,,,"Бур «Валькирия»"
ulmToolBerserkerDrillDesc,,,,,"[decea3]+200%[-] урона по рудам, асфальту и [decea3]+120%[-] дополнительного урона по земле."
ulmToolBerserkerDrillBlueprint,,,,,"Бур «Валькирия»"
ulmToolBerserkerDrillBlueprintDesc,,,,,"Прочтение схемы научит вас изготовлению этого предмета. Если уже изучен, даёт опыт при использовании."
ulmToolBreadPan,,,,,"Форма для хлеба"
ulmToolBreadPanDesc,,,,,"Старая форма для хлеба. Можно использовать для приготовления свежего хлеба."
ulmToolBulletCastingKit,,,,,"Комплект для литья пули"
ulmToolBulletCastingKitDesc,,,,,"Содержит различные формы с полостями разного размера для изготовления пуль 9-мм, 10-мм, .357 Mag, .44 Mag, 7.62-мм и пули."
ulmToolBulletPress,,,,,"Пресс для пуль"
ulmToolBulletPressDesc,,,,,"Пресс, который можно использовать для перезарядки гильз с порохом и наконечников пуль."
ulmToolBlowtorch,,,,,"Примитивная паяльная лампа"
ulmToolBlowtorchDesc,,,,,"Портативная сварочная горелка, которую можно использовать для ремонта или улучшения стальных блоков."
ulmToolBlowtorchRed,,,,,"Примитивная паяльная лампа, красная"
ulmToolBlowtorchRedDesc,,,,,"Портативная сварочная горелка, которую можно использовать для ремонта или улучшения стальных блоков."
ulmToolBlowtorchBlue,,,,,"Примитивная паяльная лампа, синяя"
ulmToolBlowtorchBlueDesc,,,,,"Портативная сварочная горелка, которую можно использовать для ремонта или модернизации стальных блоков."
ulmToolBoneSaw,,,,,"Костяная пила"
ulmToolBoneSawDesc,,,,,"Пила для сырой кости, предназначенная для резки туш животных на более мелкие части."
ulmToolCalipers,,,,,"Штангенциркуль"
ulmToolCalipersDesc,,,,,"Точный измерительный инструмент, используемый для создания определенных предметов."
ulmMeleeAxeCarpenters,,,,,"Топор плотника"
ulmMeleeAxeCarpentersDesc,,,,,"[decea3]+100%[-] дополнительного урона по деревьям."
ulmToolChisel,,,,,"Долото"
ulmToolChiselDesc,,,,,"Инструмент с заостренной режущей кромкой для обработки камня, дерева и металла."
ulmToolCncRouter,,,,,"Станок с ЧПУ"
ulmToolCncRouterDesc,,,,,"Станок для резки с компьютерным управлением для резки различных твёрдых материалов, таких как дерево, композит, алюминий, сталь, пластмассы и пенопласт."
ulmToolCrowbar,,,,,"Лом"
ulmToolDiscGrinder,,,,,"Дисковый шлифовальный станок"
ulmToolDiscGrinderDesc,,,,,"Угловая шлифовальная машина, также известная как боковая шлифовальная машина или дисковая шлифовальная машина, используется для шлифования (абразивной резки) металла."
ulmToolFireaxeTitanium,,,,,"Титановый огненный топор"
ulmToolFireaxeTitaniumDesc,,,,,"Отличный инструмент для заготовки древесины, у него больше шансов расчленить, чем у любого другого оружия."
ulmToolFryCooker,,,,,"Жарочная плита"
ulmToolFryCookerDesc,,,,,"Сковорода. Несмотря на внешний вид, она находится в рабочем состоянии."
ulmToolFryingPan,,,,,"Сковорода"
